"parameter","low","medium","high","p.order"
"beta","2.61 (2.29, 2.93)","2.87 (2.57, 3.13)","2.34 (1.77, 2.91)",1
"alpha","0.63 (0.48, 0.76)","0.56 (0.46, 0.68)","0.69 (0.58, 0.81)",2
"rho","4.46 (2.62, 7.45)","4.64 (2.58, 6.47)","3.78 (2.96, 4.61)",3
"tau","0.15 (0.07, 0.25)","0.11 (0.05, 0.18)","0.11 (0.06, 0.17)",4
"sigmaPlot","0.41 (0.14, 0.75)","0.36 (0.07, 0.68)","0.84 (0.47, 1.4)",5
"kappa","9.18 (7.39, 11.03)","8.99 (7.23, 10.84)","9.32 (7.44, 11.11)",6
