"parameter","low","medium","high","p.order"
"beta","-2.27 (-2.75, -1.79)","-2.61 (-3.01, -2.07)","-2.61 (-3.41, -1.86)",1
"alpha","0.95 (0.63, 1.31)","0.31 (0, 0.63)","0.36 (0, 0.84)",2
"rho","5.51 (2.5, 10.99)","8.2 (3.01, 16.04)","9.25 (3.32, 18.83)",3
"sigmaPlot","0.43 (0, 0.84)","0.43 (0, 0.88)","1.19 (0.51, 1.85)",5
