"parameter","low","medium","high","p.order"
"intercept","-0.49 (-0.65, -0.28)","-0.41 (-0.55, -0.29)","-0.21 (-0.53, 0.08)",1
"SD_plot","0.14 (0, 0.28)","0.1 (0, 0.21)","0.48 (0.32, 0.67)",2
"SD_trans","0.33 (0.22, 0.45)","0.28 (0.19, 0.36)","0.23 (0.11, 0.33)",3
"phi","0.15 (0, 0.32)","0.04 (0, 0.12)","0.05 (0, 0.14)",4
