"parameter","low","medium","high","p.order"
"beta","0.81 (-0.28, 1.91)","-0.52 (-1.95, 0.89)","-0.94 (-2.16, 0.48)",1
"alpha","2.82 (2.15, 3.37)","3.18 (2.44, 3.91)","3.15 (2.38, 3.96)",2
"rho","3.41 (2.59, 4.28)","2.2 (1.78, 2.69)","5.27 (4.24, 6.42)",3
"sigmaPlot","1.65 (0.65, 2.78)","2.6 (1.57, 3.61)","2 (0.68, 3.16)",4
