"parameter","low","medium","high","p.order"
"beta","-2.96 (-3.11, -2.78)","-2.81 (-3.18, -2.38)","-2.83 (-3.16, -2.42)",1
"alpha","0.12 (0, 0.29)","0.43 (0.12, 0.72)","0.22 (0, 0.45)",2
"rho","8.05 (3.01, 15.12)","6.92 (2.77, 12.73)","8 (2.89, 17.67)",3
"sigmaPlot","0.08 (0, 0.24)","0.41 (0, 0.77)","0.38 (0.01, 0.74)",5
