"parameter","low","medium","high","p.order"
"beta","1.31 (1.11, 1.53)","1.42 (1.2, 1.65)","1.61 (1.4, 1.83)",1
"alpha","0.51 (0.41, 0.62)","0.44 (0.32, 0.57)","0.23 (0.11, 0.35)",2
"rho","2.38 (1.88, 2.95)","7.47 (3.91, 12.85)","6.37 (2.88, 11.2)",3
"sigmaPlot","0.22 (0, 0.41)","0.2 (0, 0.42)","0.29 (0.1, 0.53)",5
"kappa","7.26 (5.6, 8.87)","7.99 (6.36, 9.69)","7.57 (6.04, 9.17)",6
