"parameter","low","medium","high","p.order"
"beta","1.33 (0.98, 1.69)","1.22 (0.81, 1.61)","1.31 (1.11, 1.51)",1
"alpha","0.62 (0.52, 0.76)","0.74 (0.6, 0.88)","0.57 (0.48, 0.67)",2
"rho","2.86 (2.2, 3.48)","3.39 (2.39, 4.7)","2.16 (1.77, 2.61)",3
"sigmaPlot","0.47 (0.18, 0.86)","0.54 (0.2, 0.97)","0.22 (0, 0.44)",5
"kappa","7.22 (5.56, 8.88)","7.05 (5.36, 8.8)","8.1 (6.36, 9.88)",6
