"parameter","low","medium","high","p.order"
"mu","24.58 (20.44, 28.62)","18.51 (14.82, 22.32)","19.19 (16.11, 22.6)",1
"phi","0.16 (0, 0.45)","0.11 (0, 0.31)","0.46 (0, 1.04)",2
